symbol,path,window,n,best_close_exit_model,fee_adj_avg_R_taker,verdict
ADA/USDT:USDT,15m_fast,28d,3,,,INSUFFICIENT_SAMPLE
ADA/USDT:USDT,1h_continuation,28d,6,close_exit_4h,0.092,INSUFFICIENT_SAMPLE
ADA/USDT:USDT,4h_flip,28d,8,close_exit_4h,-0.0411,INSUFFICIENT_SAMPLE
ADA/USDT:USDT,adaptive_trend_route,28d,12,close_exit_4h,0.0135,MARGINAL
AVAX/USDT:USDT,15m_fast,28d,12,close_exit_4h,0.0306,MARGINAL
AVAX/USDT:USDT,1h_continuation,28d,10,close_exit_4h,-0.0524,NEGATIVE
AVAX/USDT:USDT,4h_flip,28d,7,close_exit_4h,0.2708,INSUFFICIENT_SAMPLE
AVAX/USDT:USDT,adaptive_trend_route,28d,8,close_exit_4h,-0.1603,INSUFFICIENT_SAMPLE
AVAX/USDT:USDT,aligned_trend,28d,6,close_exit_4h,0.0915,INSUFFICIENT_SAMPLE
DOGE/USDT:USDT,15m_fast,28d,14,close_exit_4h,-0.0306,NEGATIVE_NEAR_BE
DOGE/USDT:USDT,1h_continuation,28d,5,close_exit_48h,0.3236,INSUFFICIENT_SAMPLE
DOGE/USDT:USDT,4h_flip,28d,5,close_exit_8h,-0.0798,INSUFFICIENT_SAMPLE
DOGE/USDT:USDT,adaptive_trend_route,28d,9,close_exit_4h,-0.1018,INSUFFICIENT_SAMPLE
DOGE/USDT:USDT,aligned_trend,28d,5,close_exit_4h,0.1899,INSUFFICIENT_SAMPLE
ETH/USDT:USDT,15m_fast,28d,20,close_exit_8h,-0.0415,NEGATIVE_NEAR_BE
ETH/USDT:USDT,1h_continuation,28d,5,close_exit_24h,0.1839,INSUFFICIENT_SAMPLE
ETH/USDT:USDT,4h_flip,28d,7,close_exit_4h,0.1702,INSUFFICIENT_SAMPLE
ETH/USDT:USDT,adaptive_trend_route,28d,8,close_exit_8h,0.0366,INSUFFICIENT_SAMPLE
ETH/USDT:USDT,aligned_trend,28d,3,,,INSUFFICIENT_SAMPLE
LINK/USDT:USDT,15m_fast,28d,11,close_exit_4h,-0.0142,NEGATIVE_NEAR_BE
LINK/USDT:USDT,1h_continuation,28d,6,close_exit_4h,0.0133,INSUFFICIENT_SAMPLE
LINK/USDT:USDT,4h_flip,28d,8,close_exit_8h,0.045,INSUFFICIENT_SAMPLE
LINK/USDT:USDT,adaptive_trend_route,28d,9,close_exit_8h,0.0627,INSUFFICIENT_SAMPLE
LINK/USDT:USDT,aligned_trend,28d,2,,,INSUFFICIENT_SAMPLE
SOL/USDT:USDT,15m_fast,28d,11,close_exit_4h,-0.0802,NEGATIVE
SOL/USDT:USDT,1h_continuation,28d,7,close_exit_8h,0.1226,INSUFFICIENT_SAMPLE
SOL/USDT:USDT,4h_flip,28d,8,close_exit_4h,0.0826,INSUFFICIENT_SAMPLE
SOL/USDT:USDT,adaptive_trend_route,28d,6,close_exit_4h,-0.0839,INSUFFICIENT_SAMPLE
SOL/USDT:USDT,aligned_trend,28d,5,close_exit_4h,0.2531,INSUFFICIENT_SAMPLE
SUI/USDT:USDT,15m_fast,28d,20,close_exit_4h,-0.0888,NEGATIVE
SUI/USDT:USDT,1h_continuation,28d,8,close_exit_48h,0.2221,INSUFFICIENT_SAMPLE
SUI/USDT:USDT,4h_flip,28d,8,close_exit_48h,0.0629,INSUFFICIENT_SAMPLE
SUI/USDT:USDT,adaptive_trend_route,28d,5,close_exit_8h,-0.2302,INSUFFICIENT_SAMPLE
SUI/USDT:USDT,aligned_trend,28d,5,close_exit_48h,0.2492,INSUFFICIENT_SAMPLE
XRP/USDT:USDT,15m_fast,28d,11,close_exit_8h,0.1049,POSITIVE_EXPECTANCY
XRP/USDT:USDT,1h_continuation,28d,4,,,INSUFFICIENT_SAMPLE
XRP/USDT:USDT,4h_flip,28d,8,close_exit_4h,-0.0187,INSUFFICIENT_SAMPLE
XRP/USDT:USDT,adaptive_trend_route,28d,5,close_exit_8h,0.0232,INSUFFICIENT_SAMPLE
XRP/USDT:USDT,aligned_trend,28d,3,,,INSUFFICIENT_SAMPLE
ADA/USDT:USDT,15m_fast,60d,14,close_exit_4h,-0.0237,NEGATIVE_NEAR_BE
