window,symbol,checkpoint,path,direction,entry_price,sl_price,tp_price,one_R_dist,fee_drag_R_taker_taker,fee_drag_R_maker_taker,close_exit_4h_R,close_exit_4h_resolution,close_exit_8h_R,close_exit_8h_resolution,close_exit_24h_R,close_exit_24h_resolution,close_exit_48h_R,close_exit_48h_resolution,close_exit_100h_R,close_exit_100h_resolution
28d,ADA/USDT:USDT,2026-03-30T08:00:00+00:00,4h_flip,LONG,0.2485,0.23409656,0.27730688,0.0144034399999999,0.0172528229367429,0.01207697605572,0.14579850369078537,close,-0.006942785890036664,close,-0.34713929450187175,close,0.09025621657048627,close,-0.20134079081108444,close
28d,ADA/USDT:USDT,2026-03-31T03:00:00+00:00,1h_continuation,LONG,0.2481,0.23360149,0.27709702,0.0144985099999999,0.0171121032437126,0.0119784722705988,-0.16553425145066644,close,-0.5035000148291136,close,-0.43452741005800205,close,-0.531089056737557,close,-0.1379452095422211,close
28d,ADA/USDT:USDT,2026-03-31T16:00:00+00:00,4h_flip,SHORT,0.2378,0.25301328,0.20737345,0.0152132799999999,0.0156310802141287,0.01094175614989,-0.19062292944059434,close,-0.24978176961181434,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-01T08:00:00+00:00,4h_flip,LONG,0.2498,0.23300478,0.28339045,0.01679522,0.0148732794211686,0.010411295594818,-0.10717335051282426,close,-0.047632600227921706,close,-0.6609023281624176,close,-0.3810608018233753,close,-0.4465556271367691,close
28d,ADA/USDT:USDT,2026-04-02T01:00:00+00:00,15m_fast,LONG,0.2499,0.23403668,0.28162663,0.01586332,0.0157533227596745,0.0110273259317721,-0.8195005837365703,close,-0.7564620772952957,close,-0.6619043176333838,close,-0.2899771296298644,close,0.4412695450889225,close
28d,ADA/USDT:USDT,2026-04-02T08:00:00+00:00,4h_flip,SHORT,0.2387,0.25579898,0.20450204,0.01709898,0.0139598970230972,0.009771927916168,0.11696604124924422,close,-0.04678641649969736,close,-0.27487019693572423,close,-0.3801396340600437,close,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-03T00:00:00+00:00,adaptive_trend_route,SHORT,0.2392,0.2528117696363207,0.2119764607273585,0.0136117696363207,0.0175730273425826,0.0123011191398078,-0.13958508340680295,close,-0.3085565001624051,close,-0.5142608336040079,close,-0.6244595836620096,close,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-03T20:00:00+00:00,adaptive_trend_route,LONG,0.2475,0.2345467313032173,0.2734065373935653,0.0129532686967826,0.0191071462959364,0.0133750024071555,-0.10036076842310052,close,-0.061760472875754,close,0.023160177328407482,close,-0.3088023643787721,close,1.1734489846393323,close
28d,ADA/USDT:USDT,2026-04-05T06:00:00+00:00,1h_continuation,SHORT,0.2439,0.25458296,0.22253409,0.01068296,0.0228307510278049,0.0159815257194634,0.15913192598306153,close,0.21529613515355261,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-05T16:00:00+00:00,adaptive_trend_route,SHORT,0.2434,0.2544304141451867,0.2213391717096266,0.0110304141451866,0.0220662612297482,0.0154463828608238,-0.009065842740240766,close,-0.6618065200376464,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-06T00:00:00+00:00,adaptive_trend_route,LONG,0.2507,0.2392834694360379,0.2735330611279239,0.0114165305639619,0.0219593858743191,0.0153715701120234,0.5430721676138045,close,0.3854060544356021,close,-0.4292021969850998,close,1.0511074211880032,close,0.07007382807920215,close
28d,ADA/USDT:USDT,2026-04-06T10:30:00+00:00,15m_fast,LONG,0.2583,0.24626228,0.28237545,0.0120377199999999,0.0214575517622939,0.0150202862336057,-0.20768052421886932,close,-0.46520437425027666,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-07T00:00:00+00:00,4h_flip,SHORT,0.2458,0.26043676,0.21652648,0.0146367599999999,0.0167933340438731,0.0117553338307111,0.06148901806137358,close,0.17763494106619285,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-08T00:00:00+00:00,4h_flip,LONG,0.2627,0.24524469,0.29761062,0.01745531,0.0150498616180405,0.0105349031326284,-0.12030723029267258,close,-0.08593373592333801,close,-0.6989277188431479,close,-0.4926867526271373,close,-1.0,sl_first
28d,ADA/USDT:USDT,2026-04-09T04:00:00+00:00,4h_flip,SHORT,0.249,0.26535729,0.21628542,0.01635729,0.0152225704869204,0.0106557993408443,-0.08558874972565825,close,-0.08558874972565825,close,-0.15283705308153137,close,-0.24453928493045018,close,0.6847099978052592,close
28d,ADA/USDT:USDT,2026-04-11T05:00:00+00:00,1h_continuation,SHORT,0.2526,0.26716461,0.22347078,0.01456461,0.017343409813239,0.0121403868692673,0.18538086498711467,close,0.18538086498711467,close,0.6385340905111776,close,1.0298936943728658,close,0.8788426191981782,close
