symbol,path,n,avg_MFE_4h_R,avg_MFE_8h_R,avg_MFE_24h_R,avg_MFE_48h_R,avg_MAE_4h_R,avg_MAE_8h_R,avg_MAE_24h_R,avg_MAE_48h_R,MFE_MAE_ratio_24h,favorable_first_share,confidence_mfe24h_corr,long_share,avg_R_best_exit,verdict
ADA/USDT:USDT,15m_fast,3,0.1707,0.1881,0.3267,0.5673,0.4487,0.5695,0.8314,0.921,0.393,0.3333,-0.9038,1.0,-0.3333,NEGATIVE_ENTRY
ADA/USDT:USDT,1h_continuation,6,0.1999,0.3105,0.4313,0.5873,0.1085,0.1583,0.6117,0.7686,0.7051,0.6667,0.0117,0.3333,-0.1667,NEGATIVE_ENTRY
ADA/USDT:USDT,4h_flip,8,0.1356,0.169,0.2196,0.2627,0.1409,0.1859,0.7289,0.864,0.3013,0.375,0.242,0.375,-0.25,NEGATIVE_ENTRY
ADA/USDT:USDT,adaptive_trend_route,12,0.1896,0.2102,0.2887,0.3554,0.1258,0.2618,0.6753,0.8959,0.4275,0.5,-0.4975,0.4167,-0.0833,NEGATIVE_ENTRY
AVAX/USDT:USDT,15m_fast,12,0.2066,0.3025,0.3948,0.4804,0.1957,0.2484,0.5254,0.6502,0.7515,0.4167,0.2391,0.9167,-0.1667,NEGATIVE_ENTRY
AVAX/USDT:USDT,1h_continuation,10,0.1527,0.2242,0.4117,0.5832,0.1754,0.2654,0.6909,0.8452,0.5958,0.4,-0.1822,0.7,-0.2,NEGATIVE_ENTRY
AVAX/USDT:USDT,4h_flip,7,0.4566,0.5243,0.5771,0.6952,0.0587,0.0645,0.4083,0.7405,1.4134,1.0,0.3307,0.4286,0.0714,WEAK_ENTRY
AVAX/USDT:USDT,adaptive_trend_route,8,0.0776,0.1308,0.1628,0.2241,0.2482,0.3417,0.6473,0.8845,0.2515,0.25,0.1004,0.375,-0.125,NEGATIVE_ENTRY
AVAX/USDT:USDT,aligned_trend,6,0.3133,0.3875,0.5324,0.6043,0.1973,0.2674,0.5362,0.6554,0.993,0.6667,-0.3997,1.0,0.0,WEAK_ENTRY
DOGE/USDT:USDT,15m_fast,14,0.2066,0.2778,0.4283,0.5517,0.225,0.3005,0.4403,0.5594,0.9726,0.4286,0.4951,0.9286,-0.0714,NEGATIVE_ENTRY
DOGE/USDT:USDT,1h_continuation,5,0.3154,0.3366,0.4867,0.7322,0.0805,0.24,0.3956,0.3956,1.2302,1.0,-0.0902,0.6,0.0,WEAK_ENTRY
DOGE/USDT:USDT,4h_flip,5,0.0656,0.1122,0.314,0.3436,0.2002,0.2509,0.4605,0.8301,0.6818,0.2,0.0283,0.4,0.0,WEAK_ENTRY
DOGE/USDT:USDT,adaptive_trend_route,9,0.1297,0.1709,0.2469,0.3773,0.2262,0.3506,0.8374,0.9227,0.2948,0.3333,0.0046,0.3333,-0.3333,NEGATIVE_ENTRY
DOGE/USDT:USDT,aligned_trend,5,0.3651,0.4307,0.5669,0.7439,0.0977,0.2513,0.4275,0.6406,1.3261,1.0,0.2598,1.0,0.0,WEAK_ENTRY
ETH/USDT:USDT,15m_fast,20,0.1984,0.2922,0.4023,0.5313,0.2594,0.3145,0.5774,0.7979,0.6967,0.35,0.5015,0.75,-0.175,NEGATIVE_ENTRY
ETH/USDT:USDT,1h_continuation,5,0.1734,0.1993,0.5062,0.7229,0.1904,0.3051,0.4281,0.4621,1.1824,0.4,-0.0151,1.0,0.0,WEAK_ENTRY
ETH/USDT:USDT,4h_flip,7,0.3562,0.3981,0.5325,0.6192,0.0748,0.1125,0.4417,0.6756,1.2055,0.7143,0.4158,0.4286,-0.0714,NEGATIVE_ENTRY
ETH/USDT:USDT,adaptive_trend_route,8,0.2437,0.2691,0.3771,0.5698,0.1388,0.1607,0.6348,0.8523,0.594,0.625,-0.1505,0.5,-0.125,NEGATIVE_ENTRY
ETH/USDT:USDT,aligned_trend,3,0.286,0.3793,0.8064,0.8064,0.1078,0.1374,0.4711,0.569,1.7117,0.3333,-0.8806,1.0,0.0,WEAK_ENTRY
LINK/USDT:USDT,15m_fast,11,0.2329,0.3236,0.416,0.5247,0.2364,0.304,0.5077,0.7195,0.8193,0.4545,-0.1329,0.7273,-0.0909,NEGATIVE_ENTRY
LINK/USDT:USDT,1h_continuation,6,0.185,0.2552,0.3751,0.6232,0.1771,0.2975,0.4845,0.6171,0.7742,0.3333,0.1748,0.6667,0.0,WEAK_ENTRY
LINK/USDT:USDT,4h_flip,8,0.1156,0.1876,0.2613,0.3539,0.1205,0.1308,0.5364,0.8205,0.4872,0.375,0.2345,0.375,-0.125,NEGATIVE_ENTRY
LINK/USDT:USDT,adaptive_trend_route,9,0.202,0.2982,0.4229,0.6017,0.1078,0.1716,0.4962,0.7481,0.8523,0.5556,-0.6714,0.6667,0.0,WEAK_ENTRY
LINK/USDT:USDT,aligned_trend,2,0.3976,0.6592,0.6592,0.8604,0.3117,0.3117,0.3299,0.6343,1.9984,0.5,,1.0,0.0,WEAK_ENTRY
SOL/USDT:USDT,15m_fast,11,0.1678,0.2464,0.2699,0.2761,0.2145,0.3085,0.6647,0.9698,0.406,0.4545,0.3853,0.6364,-0.2727,NEGATIVE_ENTRY
SOL/USDT:USDT,1h_continuation,7,0.2002,0.3832,0.5545,0.572,0.2277,0.234,0.5547,0.6795,0.9997,0.7143,0.8795,0.2857,-0.1429,NEGATIVE_ENTRY
SOL/USDT:USDT,4h_flip,8,0.2332,0.2492,0.3478,0.546,0.152,0.2297,0.4926,0.8967,0.7061,0.625,0.0685,0.5,0.0,WEAK_ENTRY
SOL/USDT:USDT,adaptive_trend_route,6,0.1276,0.1865,0.3203,0.3956,0.2056,0.3318,0.8844,0.9381,0.3622,0.3333,0.1009,0.5,-0.3333,NEGATIVE_ENTRY
SOL/USDT:USDT,aligned_trend,5,0.342,0.4506,0.5079,0.5317,0.0984,0.1061,0.3715,0.6629,1.3672,1.0,0.0334,0.8,0.1,WEAK_ENTRY
SUI/USDT:USDT,15m_fast,20,0.1691,0.2404,0.3155,0.4741,0.2583,0.3342,0.673,0.8063,0.4688,0.4,0.1535,0.6,-0.25,NEGATIVE_ENTRY
SUI/USDT:USDT,1h_continuation,8,0.3096,0.3887,0.6997,0.8579,0.1672,0.2415,0.3654,0.4445,1.9147,0.5,0.0328,0.75,0.125,WEAK_ENTRY
SUI/USDT:USDT,4h_flip,8,0.1421,0.2466,0.3064,0.5385,0.1458,0.1674,0.3738,0.5733,0.8196,0.5,-0.5621,0.5,0.0,WEAK_ENTRY
SUI/USDT:USDT,adaptive_trend_route,6,0.1088,0.1278,0.1713,0.3255,0.3417,0.4342,0.6403,0.7842,0.2675,0.1667,-0.3298,0.3333,0.0,WEAK_ENTRY
SUI/USDT:USDT,aligned_trend,5,0.2647,0.4888,0.65,1.0199,0.1765,0.1946,0.3421,0.4784,1.8997,0.6,-0.4628,1.0,0.0,WEAK_ENTRY
XRP/USDT:USDT,15m_fast,11,0.3137,0.4802,0.6254,0.8194,0.2072,0.2759,0.4634,0.6453,1.3497,0.7273,-0.244,0.7273,-0.0455,WEAK_ENTRY
XRP/USDT:USDT,1h_continuation,4,0.145,0.2547,0.47,0.8611,0.1029,0.1159,0.3547,0.5662,1.3251,0.75,0.965,0.25,0.125,WEAK_ENTRY
XRP/USDT:USDT,4h_flip,8,0.1504,0.1848,0.3061,0.4491,0.1341,0.2135,0.5634,0.7129,0.5433,0.5,-0.2993,0.5,0.0,WEAK_ENTRY
XRP/USDT:USDT,adaptive_trend_route,6,0.097,0.1605,0.1842,0.4431,0.3407,0.3769,0.5599,0.9306,0.329,0.1667,0.0848,0.5,0.0,WEAK_ENTRY
XRP/USDT:USDT,aligned_trend,3,0.3761,0.7382,0.8976,1.3716,0.1128,0.1128,0.2576,0.3985,3.4846,1.0,0.8816,1.0,0.1667,WEAK_ENTRY
