window,scope,exit_model,opportunities,win_rate,avg_R,median_R,worst_R,p95_adverse_R,fee_adj_avg_R_taker,fee_adj_avg_R_maker,verdict
28d,all_paths_all_symbols,current_2R_TP,305,0.0,-0.1246,0.0,-1.0,-1.0,-0.1445,-0.1385,NEGATIVE
28d,all_paths_all_symbols,partial_at_1R,305,0.0426,-0.1033,0.0,-1.0,-1.0,-0.1231,-0.1172,NEGATIVE
28d,all_paths_all_symbols,breakeven_after_1R,305,0.0,-0.1246,0.0,-1.0,-1.0,-0.1445,-0.1385,NEGATIVE
28d,all_paths_all_symbols,breakeven_after_0.5R_proxy,305,0.0,-0.118,0.0,-1.0,-1.0,-0.1379,-0.1319,NEGATIVE
28d,all_paths_all_symbols,breakeven_after_0.67R_proxy,305,0.0,-0.1213,0.0,-1.0,-1.0,-0.1412,-0.1352,NEGATIVE
28d,all_paths_all_symbols,trail_proxy_0.67R_BE,305,0.0,-0.1213,0.0,-1.0,-1.0,-0.1412,-0.1352,NEGATIVE
28d,all_paths_all_symbols,time_exit_8h_mfe,305,0.9869,0.2754,0.2253,-1.0,0.0188,0.2555,0.2615,POSITIVE_EXPECTANCY
28d,all_paths_all_symbols,time_exit_8h_mae,305,0.0,-0.2561,-0.1857,-1.0,-0.7604,-0.276,-0.27,NEGATIVE
28d,all_paths_all_symbols,time_exit_8h_mid,305,0.5475,0.0096,0.0235,-1.0,-0.3075,-0.0102,-0.0043,NEGATIVE_NEAR_BE
28d,all_paths_all_symbols,time_exit_24h_mfe,305,0.8721,0.2534,0.2863,-1.0,-1.0,0.2335,0.2395,POSITIVE_EXPECTANCY
28d,all_paths_all_symbols,time_exit_24h_mae,305,0.0,-0.5092,-0.4771,-1.0,-1.0,-0.5291,-0.5231,NEGATIVE
28d,all_paths_all_symbols,time_exit_24h_mid,305,0.4164,-0.1279,-0.0702,-1.0,-1.0,-0.1478,-0.1418,NEGATIVE
