window,symbol,checkpoint,path,route,regime,direction,confidence,entry_price,atr_4h,sl_price,tp_price,one_R_dist,live_allowed,suppressed_flag,run_length,one_r_before_sl,two_r_before_sl,sl_first,unresolved,mfe_4h,mae_4h,mfe_8h,mae_8h,mfe_24h,mae_24h,mfe_48h,mae_48h,time_to_sl_min,time_to_1r_min,time_to_tp_min,fee_drag_R_taker_taker,fee_drag_R_maker_taker,truncated_4h,truncated_8h,truncated_24h,truncated_48h,forward_bars
14d,ADA/USDT:USDT,2026-04-15T00:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,SHORT,84.15,0.2393,0.0048973848601742654,0.25154346215043566,0.2148130756991287,0.012243462150435647,False,ALLOW_ADAPTIVE_TREND_ROUTE,40,,,,True,0.0005000000000000004,0.001799999999999996,0.0013000000000000234,0.0024999999999999745,0.0013000000000000234,0.011199999999999988,0.0013000000000000234,0.022199999999999998,,,,0.019545125150036525,0.013681587605025566,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-16T16:00:00+00:00,15m_fast,supertrend_trend,trending,LONG,49.62,0.2533,0.00512841408211713,0.23791476,0.28407048,0.015385240000000022,False,ALLOW_15M_FAST,1,,,,True,0.007399999999999962,0.0027000000000000357,0.008199999999999985,0.0027000000000000357,0.014600000000000002,0.0027000000000000357,0.014600000000000002,0.0039000000000000146,,,,0.016463831568438298,0.011524682097906809,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-17T13:00:00+00:00,1h_continuation,supertrend_trend,trending,LONG,65.4,0.2603,0.005425050108941803,0.24402485,0.2928503,0.016275149999999988,False,(allowed),6,,,,True,0.007600000000000051,0.0006999999999999784,0.007600000000000051,0.0012999999999999678,0.007600000000000051,0.010899999999999965,0.007600000000000051,0.016199999999999964,,,,0.01599370819931,0.011195595739517,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-18T20:00:00+00:00,4h_flip,supertrend_trend,trending,SHORT,69.92,0.2486,0.005323890494705113,0.26457167,0.21665666,0.015971669999999993,False,(allowed),8,,,,True,0.0007999999999999952,0.0020999999999999908,0.001899999999999985,0.0020999999999999908,0.004499999999999976,0.0023000000000000242,0.00789999999999999,0.0023000000000000242,,,,0.01556505988415739,0.010895541918910174,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-19T18:00:00+00:00,1h_continuation,supertrend_trend,trending,SHORT,60.05,0.2449,0.004893001006742995,0.259579,0.21554199,0.014678999999999998,False,(allowed),4,,,,True,0.0015000000000000013,0.0023999999999999855,0.004200000000000009,0.0023999999999999855,0.004200000000000009,0.004299999999999998,0.004200000000000009,0.007400000000000018,,,,0.01668369779957763,0.011678588459704342,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-21T04:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,SHORT,66.66,0.2469,0.004754311321925056,0.25878577830481264,0.22312844339037474,0.011885778304812633,False,ALLOW_ADAPTIVE_TREND_ROUTE,8,,,,True,0.00020000000000000573,0.0032999999999999696,0.00020000000000000573,0.005400000000000016,0.0031000000000000194,0.008599999999999997,0.0031000000000000194,0.010599999999999998,,,,0.02077272465195052,0.014540907256365362,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-21T16:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,SHORT,61.31,0.2487,0.0044700881830427655,0.2598752204576069,0.22634955908478618,0.01117522045760691,False,ALLOW_ADAPTIVE_TREND_ROUTE,16,,,,True,0.0049000000000000155,0.0005999999999999894,0.0049000000000000155,0.0012999999999999956,0.0049000000000000155,0.008800000000000002,0.0049000000000000155,0.008800000000000002,,,,0.022254594523968548,0.015578216166777983,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-22T04:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,LONG,69.2,0.2542,0.004782027601364781,0.24224493099658803,0.2781101380068239,0.01195506900341195,False,ALLOW_ADAPTIVE_TREND_ROUTE,40,,,,True,0.003300000000000025,0.0010000000000000009,0.003300000000000025,0.0010000000000000009,0.003300000000000025,0.009199999999999986,0.003300000000000025,0.009799999999999975,,,,0.021262947117030598,0.01488406298192142,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-23T08:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,SHORT,84.77,0.2467,0.004275789678129922,0.2573894741953248,0.2253210516093504,0.010689474195324816,False,ALLOW_ADAPTIVE_TREND_ROUTE,32,,,,True,0.0020999999999999908,0.0012000000000000066,0.0020999999999999908,0.00410000000000002,0.0022999999999999965,0.005100000000000021,0.0022999999999999965,0.006200000000000011,,,,0.023078777823131613,0.016155144476192127,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-24T16:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,LONG,60.41,0.252,0.004098194133976068,0.24175451466505982,0.2724909706698804,0.010245485334940185,False,ALLOW_ADAPTIVE_TREND_ROUTE,48,,,,True,0.00040000000000001146,0.0015000000000000013,0.0009000000000000119,0.0022000000000000075,0.0018000000000000238,0.002599999999999991,0.0023000000000000242,0.0040999999999999925,,,,0.024596199375797673,0.017217339563058372,False,False,False,False,192
14d,ADA/USDT:USDT,2026-04-26T12:00:00+00:00,adaptive_trend_route,adaptive_trend,ranging,LONG,63.32,0.2534,0.003406088459610202,0.2448847788509745,0.270430442298051,0.008515221149025504,False,ALLOW_ADAPTIVE_TREND_ROUTE,40,,,,True,0.00040000000000001146,0.0020999999999999908,0.00040000000000001146,0.0027000000000000357,0.00269999999999998,0.007400000000000018,0.00269999999999998,0.007400000000000018,,,,0.02975847550700425,0.020830932854902975,False,False,True,True,80
14d,AVAX/USDT:USDT,2026-04-13T11:00:00+00:00,1h_continuation,supertrend_trend,trending,SHORT,60.37,8.986,0.1845872095395654,9.53976163,7.87847674,0.5537616299999986,False,(allowed),2,False,False,True,False,0.025000000000000355,0.3330000000000002,0.025000000000000355,0.4009999999999998,0.025000000000000355,0.7299999999999986,0.025000000000000355,0.7299999999999986,690.0,,,0.016227198695583197,0.011359039086908235,False,False,False,False,192
14d,AVAX/USDT:USDT,2026-04-13T20:00:00+00:00,4h_flip,supertrend_trend,trending,LONG,65.82,9.404,0.1941006192997176,8.82169814,10.56860372,0.5823018599999994,False,(allowed),8,,,,True,0.3119999999999994,0.1609999999999996,0.3119999999999994,0.1609999999999996,0.3119999999999994,0.1980000000000004,0.3119999999999994,0.1980000000000004,,,,0.016149699401612785,0.011304789581128946,False,False,False,False,192
