window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
14d,path,adaptive_trend_route,40,0.0,0.0,0.9,0.25600803646294207,0.6457492351384633,-0.12617014281273511,-0.11831909996891452,,570.0,8,0.175,0.25,DO_NOT_ENABLE
14d,path,15m_fast,59,0.06779661016949153,0.0,0.847457627118644,0.4962307636540801,0.4444102447164598,-0.10393389580103267,-0.09817745587428219,832.5,795.0,8,0.2033898305084746,0.3050847457627119,DO_NOT_ENABLE
14d,path,1h_continuation,18,0.05555555555555555,0.0,0.8888888888888888,0.4958737451068498,0.38956629013266186,-0.07365979577326474,-0.06822852370795202,1335.0,690.0,8,0.2222222222222222,0.3333333333333333,DO_NOT_ENABLE
14d,path,4h_flip,16,0.0625,0.0,0.9375,0.5450385838200255,0.3094243002339784,-0.01887569699244544,-0.013212987894711807,195.0,,8,0.25,0.25,DO_NOT_ENABLE
14d,path,aligned_trend,21,0.047619047619047616,0.0,0.9523809523809523,0.669502229180232,0.33034045345585344,-0.017896410658615875,-0.01252748746103111,1335.0,,7,0.23809523809523808,0.42857142857142855,DO_NOT_ENABLE
14d,symbol_path,ADA/USDT:USDT|adaptive_trend_route,7,0.0,0.0,1.0,0.2556328549430121,0.6850342108215617,-0.023038406306988533,-0.016126884414891973,,,1,1.0,0.2857142857142857,DO_NOT_ENABLE
14d,symbol_path,ADA/USDT:USDT|15m_fast,1,0.0,0.0,1.0,0.9489614721642289,0.17549287498927751,-0.016463831568438298,-0.011524682097906809,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,ADA/USDT:USDT|1h_continuation,2,0.0,0.0,1.0,0.3765463076828793,0.48133408835212765,-0.016338702999443816,-0.011437092099610672,,,1,1.0,0.5,DO_NOT_ENABLE
14d,symbol_path,ADA/USDT:USDT|4h_flip,1,0.0,0.0,1.0,0.2817488715957679,0.14400497881561697,-0.01556505988415739,-0.010895541918910174,,,1,1.0,1.0,DO_NOT_ENABLE
14d,symbol_path,AVAX/USDT:USDT|1h_continuation,4,0.0,0.0,0.75,0.36181219225667965,0.6486438929928898,-0.26590385870804456,-0.2611327010956313,,690.0,1,1.0,0.25,DO_NOT_ENABLE
14d,symbol_path,AVAX/USDT:USDT|4h_flip,2,0.0,0.0,1.0,0.570940011432939,0.19148352551620332,-0.01577712734060061,-0.011043989138420425,,,1,1.0,0.5,DO_NOT_ENABLE
